,acc,recall,precision,f1
0,0.5190284949321093,0.5190284949321093,0.48950557210712414,0.49225986356937673
1,0.4976094855612928,0.4976094855612928,0.476904063456377,0.4703225454736926
2,0.5063097514340344,0.5063097514340344,0.4917971444501245,0.48368034035956786
3,0.5052571210093673,0.5052571210093673,0.4829841818220687,0.48313706468952794
4,0.5116590214067278,0.5116590214067278,0.49064935860287967,0.4914358680591561
5,0.507262996941896,0.507262996941896,0.48540154297095095,0.48392651027253214
6,0.5095565749235474,0.5095565749235474,0.4767599275710472,0.48127106510148676
7,0.49856678769348367,0.49856678769348367,0.46788784010904483,0.4733027954839587
8,0.5206343141001146,0.5206343141001146,0.4823526577008194,0.4807165017554477
9,0.5010506208213945,0.5010506208213945,0.4739466434778255,0.4739633169899443
average,0.5076935168823968,0.5076935168823968,0.4818188932268262,0.481401587175469
std,0.007431630318780361,0.007431630318780361,0.007462580464656053,0.0069088249891766295
