,acc,recall,precision,f1
0,0.9611780455153949,0.9611780455153949,0.9612715530593833,0.961104113563937
1,0.9634729393765539,0.9634729393765539,0.9635548641029653,0.9634159859537903
2,0.9638623326959848,0.9638623326959848,0.963918797866981,0.9638378644869018
3,0.9640604090995986,0.9640604090995986,0.9641101590247485,0.9639910704539576
4,0.9665519877675841,0.9665519877675841,0.9667310537853756,0.966504136161443
5,0.9661697247706422,0.9661697247706422,0.9662610082479488,0.9660470660335483
6,0.9634938837920489,0.9634938837920489,0.9635656286522334,0.9634591565300072
7,0.9659850945920122,0.9659850945920122,0.9660491057613002,0.965961419702082
8,0.9633167749331295,0.9633167749331295,0.9633692705502956,0.9632648395590959
9,0.9646609360076409,0.9646609360076409,0.964715623049757,0.9646216293143007
average,0.964275212855059,0.964275212855059,0.9643547064100989,0.9642207281759063
std,0.0015436040490878179,0.0015436040490878179,0.001557927888280033,0.001542534572952125
