,acc,recall,precision,f1
0,0.6703002486135016,0.6703002486135016,0.6754781417899529,0.6588335760320224
1,0.6605469497035762,0.6605469497035762,0.6611609129000972,0.6489327832243795
2,0.6458891013384321,0.6458891013384321,0.6515762606259257,0.634056874845253
3,0.6616325750334544,0.6616325750334544,0.665847241002384,0.6493803616932536
4,0.66532874617737,0.66532874617737,0.6651406928237933,0.6536078409098806
5,0.6746941896024465,0.6746941896024465,0.6757233297894849,0.6631935870303229
6,0.6722094801223242,0.6722094801223242,0.6758592085635531,0.6599329919426115
7,0.6722721192432639,0.6722721192432639,0.6729915225466823,0.6623428381247202
8,0.676920137562094,0.676920137562094,0.6784505861495833,0.6678497183023778
9,0.6529130850047755,0.6529130850047755,0.6562069200874696,0.6385962790482631
average,0.6652706632401238,0.6652706632401238,0.6678434816278925,0.6536726851153085
std,0.009544027486290444,0.009544027486290444,0.008829630372499567,0.010419244601269263
