,0,1,2,3,4,5
0,90.53,7.41,0.0,0.0,0.0,2.06
1,55.04,26.8,4.3,8.02,2.12,3.72
2,54.08,15.5,10.7,14.58,2.76,2.39
3,40.69,12.25,4.58,18.4,11.34,12.74
4,26.53,9.08,0.83,10.89,20.06,32.61
5,27.5,7.14,0.12,5.46,12.79,46.99
