,0,1,2,3,4,5
0,46.56,47.17,0.0,0.0,0.0,6.27
1,37.29,48.14,3.2,6.35,1.82,3.2
2,32.86,47.45,6.23,9.39,2.0,2.06
3,23.17,47.14,2.77,11.51,7.63,7.78
4,16.2,46.54,0.55,7.53,13.89,15.29
5,16.58,44.49,0.85,5.78,10.4,21.9
