,0,1,2,3,4,5
0,14.81,11.52,41.56,25.51,2.88,3.7
1,0.11,30.99,40.66,24.23,3.67,0.34
2,0.11,1.27,75.85,21.28,1.36,0.13
3,0.0,0.61,16.91,76.73,5.46,0.29
4,0.0,0.02,8.35,33.18,57.33,1.11
5,0.0,0.0,4.22,36.62,33.21,25.95
