,0,1,2,3,4,5
0,17.1,1.5,1.8,2.3,0.3,1.3
1,42.9,60.7,37.2,29.5,1.9,2.4
2,212.6,128.1,1046.7,294.9,33.2,10.7
3,209.6,138.8,172.7,1554.7,135.8,68.1
4,53.7,42.8,17.7,210.1,475.8,65.7
5,7.4,6.4,1.1,29.6,36.3,80.3
