,0,1,2,3,4,5
0,8.18,16.94,29.03,23.49,13.78,8.58
1,0.46,18.33,31.13,26.31,14.68,9.09
2,0.24,10.69,37.96,35.39,10.84,4.89
3,0.0,3.43,24.5,29.03,26.41,16.63
4,0.0,1.51,10.78,31.19,34.38,22.15
5,0.0,0.66,8.08,31.49,34.36,25.41
